,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isDown,isWalk
0,-1.56,-3.68,0.43,6.29,-4.63,-21.69,0 days 00:00:01.650000000,0,0
1,-1.49,-3.69,0.46,3.48,6.53,-20.55,0 days 00:00:01.822000000,0,0
2,-1.48,-3.74,0.37,5.79,4.98,-17.92,0 days 00:00:01.973000000,0,0
3,-1.42,-3.72,0.4,1.85,19.3,-8.79,0 days 00:00:02.142000000,0,0
4,-1.41,-3.69,0.38,1.47,13.4,-9.97,0 days 00:00:02.327000000,0,0
5,-1.46,-3.74,0.29,6.53,-1.08,-9.82,0 days 00:00:02.527000000,0,0
6,-1.38,-3.75,0.28,5.77,-2.27,-10.52,0 days 00:00:02.701000000,0,0
7,-1.27,-3.82,0.32,5.73,7.18,-0.89,0 days 00:00:02.872000000,0,0
8,-1.21,-3.48,0.32,-7.44,12.61,183.76,0 days 00:00:03.078000000,1,0
9,-4.09,-2.71,0.03,1.97,26.81,231.89,0 days 00:00:03.234000000,1,0
10,-3.08,-2.52,0.21,21.73,-25.15,-215.98,0 days 00:00:03.429000000,1,0
11,-1.72,-3.39,0.35,36.61,-19.13,-306.76,0 days 00:00:03.618000000,1,0
12,-0.04,-3.96,0.59,18.26,-5.57,-84.64,0 days 00:00:03.777000000,1,0
13,0.01,-3.93,0.65,0.73,-11.8,8.9,0 days 00:00:03.967000000,1,0
14,-0.1,-4.02,0.59,2.03,0.98,9.22,0 days 00:00:04.137000000,0,0
15,-0.14,-4.0,0.61,-1.37,-1.86,3.57,0 days 00:00:04.294000000,0,0
16,-0.23,-3.98,0.58,-0.27,0.5,6.66,0 days 00:00:04.470000000,0,0
17,-0.27,-3.97,0.56,-0.09,-1.85,3.51,0 days 00:00:04.649000000,0,0
18,-0.36,-4.0,0.54,1.53,1.79,-0.92,0 days 00:00:04.840000000,0,0
19,-0.38,-3.99,0.56,2.87,-0.76,-4.21,0 days 00:00:05.005000000,0,0
20,-0.35,-3.99,0.53,1.04,-0.69,-0.46,0 days 00:00:05.211000000,0,0
21,-0.39,-3.99,0.52,0.75,-2.69,3.45,0 days 00:00:05.365000000,0,0
22,-0.41,-4.01,0.49,1.6,-1.4,7.97,0 days 00:00:05.577000000,0,0
23,-0.49,-3.98,0.49,3.39,0.09,-1.6,0 days 00:00:05.748000000,0,0
24,-0.47,-3.97,0.5,3.85,-2.15,-1.05,0 days 00:00:05.867000000,0,0
25,-0.47,-3.96,0.52,3.31,-0.9,-2.76,0 days 00:00:06.102000000,0,0
26,-0.51,-3.96,0.5,3.59,-1.31,-0.18,0 days 00:00:06.248000000,0,0
27,-0.53,-3.96,0.51,2.79,-2.18,6.79,0 days 00:00:06.414000000,0,0
28,-0.55,-3.98,0.48,5.04,0.61,-4.64,0 days 00:00:06.631000000,0,0
29,-0.57,-3.96,0.56,5.33,0.05,-1.08,0 days 00:00:06.782000000,0,0
30,-0.61,-3.95,0.51,3.04,0.29,2.44,0 days 00:00:06.952000000,0,0
31,-0.64,-3.96,0.51,2.06,-0.09,38.84,0 days 00:00:07.126000000,1,0
32,-1.37,-3.58,0.46,-26.05,-3.04,262.66,0 days 00:00:07.278000000,1,0
33,-2.87,-3.13,0.33,-16.82,-1.44,89.63,0 days 00:00:07.535000000,1,0
34,-2.62,-3.14,0.37,27.36,-8.78,-192.95,0 days 00:00:07.689000000,1,0
35,-1.35,-3.69,0.4,8.78,7.27,-115.07,0 days 00:00:07.861000000,1,0
36,-0.98,-3.89,0.45,-2.27,8.12,-32.6,0 days 00:00:08.032000000,1,0
37,-0.98,-3.96,0.38,1.48,-4.93,-0.03,0 days 00:00:08.276000000,0,0
38,-0.96,-3.91,0.39,4.96,1.57,-1.69,0 days 00:00:08.378000000,0,0
39,-0.99,-3.87,0.39,5.59,0.23,-3.5,0 days 00:00:08.556000000,0,0
40,-1.02,-3.85,0.38,4.79,-0.61,-4.29,0 days 00:00:08.746000000,0,0
41,-1.02,-3.88,0.44,4.02,-1.08,-4.44,0 days 00:00:08.948000000,0,0
42,-0.95,-3.94,0.43,1.42,-3.45,0.09,0 days 00:00:09.145000000,0,0
43,-0.98,-3.89,0.4,2.43,-0.96,-5.36,0 days 00:00:09.346000000,0,0
44,-0.93,-3.92,0.44,6.27,-0.58,-2.98,0 days 00:00:09.461000000,0,0
45,-1.03,-3.83,0.39,4.32,-1.28,-4.66,0 days 00:00:09.599000000,0,0
46,-1.01,-3.85,0.41,3.21,-1.37,-0.72,0 days 00:00:09.807000000,0,0
47,-1.05,-3.87,0.41,1.92,-0.6,-2.24,0 days 00:00:10.042000000,0,0
48,-1.01,-3.87,0.42,2.87,-0.34,-3.91,0 days 00:00:10.202000000,0,0
49,-1.03,-3.89,0.42,2.58,-0.66,-2.15,0 days 00:00:10.329000000,0,0
50,-0.99,-3.85,0.38,2.35,-0.5,-3.18,0 days 00:00:10.560000000,0,0
51,-1.03,-3.9,0.46,2.47,-1.11,-1.47,0 days 00:00:10.697000000,0,0
52,-1.03,-3.88,0.42,2.29,-1.07,1.59,0 days 00:00:10.942000000,0,0
53,-1.05,-3.81,0.39,0.96,2.02,29.37,0 days 00:00:11.087000000,1,0
54,-1.63,-3.52,0.36,-13.05,1.82,246.12,0 days 00:00:11.231000000,1,0
55,-2.88,-2.77,0.34,-7.42,-0.2,85.01,0 days 00:00:11.375000000,1,0
56,-2.81,-2.89,0.24,16.47,2.81,-120.47,0 days 00:00:11.643000000,1,0
57,-1.91,-3.49,0.33,17.56,6.02,-165.25,0 days 00:00:11.822000000,1,0
58,-1.14,-3.8,0.36,11.28,-4.49,-80.85,0 days 00:00:11.977000000,1,0
59,-0.87,-3.73,0.48,8.32,-7.62,-25.42,0 days 00:00:12.135000000,1,0
60,-0.89,-3.95,0.46,2.29,-4.29,-6.66,0 days 00:00:12.382000000,0,0
61,-0.9,-3.94,0.47,2.05,-4.52,-8.47,0 days 00:00:12.570000000,0,0
62,-0.76,-3.9,0.47,2.89,-3.47,-6.64,0 days 00:00:12.730000000,0,0
63,-0.86,-3.92,0.43,2.43,-0.73,-5.36,0 days 00:00:12.891000000,0,0
64,-0.82,-3.88,0.49,2.96,-2.27,-3.73,0 days 00:00:13.059000000,0,0
65,-0.87,-3.87,0.51,3.47,-1.51,2.6,0 days 00:00:13.226000000,0,0
66,-0.88,-3.88,0.45,0.99,0.23,2.5,0 days 00:00:13.400000000,0,0
67,-0.93,-3.9,0.47,0.17,6.26,-0.67,0 days 00:00:13.573000000,0,0
68,-0.94,-3.89,0.44,0.03,-0.6,-5.22,0 days 00:00:13.751000000,0,0
69,-0.92,-3.88,0.38,2.73,0.92,-4.78,0 days 00:00:13.933000000,0,0
70,-0.88,-3.89,0.37,3.28,1.21,-2.6,0 days 00:00:14.127000000,0,0
71,-0.94,-3.92,0.35,2.24,1.27,-2.34,0 days 00:00:14.324000000,0,0
72,-0.97,-3.88,0.39,3.83,-1.15,-0.41,0 days 00:00:14.518000000,0,0
73,-0.97,-3.84,0.36,4.34,0.75,-2.9,0 days 00:00:14.718000000,0,0
74,-0.97,-3.85,0.38,3.92,0.4,-3.39,0 days 00:00:14.728000000,0,0
75,-0.97,-3.87,0.41,1.65,-1.39,-3.24,0 days 00:00:14.938000000,0,0
76,-0.95,-3.87,0.37,2.85,-0.64,-2.78,0 days 00:00:15.160000000,0,0
77,-0.97,-3.88,0.36,3.22,0.18,-2.27,0 days 00:00:15.387000000,0,0
78,-1.01,-3.85,0.41,1.76,-0.49,-2.63,0 days 00:00:15.617000000,0,0
79,-1.02,-3.84,0.38,2.0,-1.45,-1.22,0 days 00:00:15.627000000,0,0
80,-1.01,-3.84,0.38,3.56,-1.57,-0.7,0 days 00:00:15.857000000,0,0
81,-0.99,-3.82,0.41,-0.4,2.95,28.5,0 days 00:00:16.106000000,1,0
82,-1.52,-3.58,0.32,-5.11,0.03,215.21,0 days 00:00:16.359000000,1,0
83,-2.86,-2.65,0.34,-6.75,10.49,133.8,0 days 00:00:16.370000000,1,0
84,-3.15,-2.64,0.21,5.95,-3.57,-61.82,0 days 00:00:16.630000000,1,0
85,-2.28,-3.21,0.27,19.57,-0.24,-222.89,0 days 00:00:16.934000000,1,0
86,-1.19,-3.76,0.37,12.34,-4.7,-99.34,0 days 00:00:16.955000000,1,0
87,-1.0,-3.84,0.46,2.4,-11.42,6.64,0 days 00:00:17.320000000,1,0
88,-1.1,-3.82,0.39,1.53,0.79,-1.85,0 days 00:00:17.334000000,1,0
89,-1.11,-3.85,0.41,3.37,1.68,-4.24,0 days 00:00:17.684000000,0,0
90,-1.17,-3.81,0.44,2.44,1.42,0.29,0 days 00:00:17.694000000,0,0
91,-1.13,-3.82,0.37,3.66,-2.11,-2.67,0 days 00:00:18.014000000,0,0
