,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isOnly,isWalk
0,-1.62,-3.6,1.0,3.95,-1.44,-0.49,0 days 00:00:00.000000000,0,0
1,-1.63,-3.59,0.95,3.54,-1.74,-1.98,0 days 00:00:00.021000000,0,0
2,-1.64,-3.58,1.0,3.62,-0.55,-2.31,0 days 00:00:00.043000000,0,0
3,-1.66,-3.57,1.01,4.53,-0.06,-2.93,0 days 00:00:00.159000000,0,0
4,-1.65,-3.56,0.99,3.85,-1.36,-4.58,0 days 00:00:00.342000000,0,0
5,-1.66,-3.57,0.97,3.51,-3.53,-1.62,0 days 00:00:00.488000000,0,0
6,-1.65,-3.58,0.97,3.47,-1.22,-3.82,0 days 00:00:00.671000000,0,0
7,-1.67,-3.58,0.98,3.94,-2.56,-3.62,0 days 00:00:00.858000000,0,0
8,-1.64,-3.57,1.0,3.57,-1.92,-3.33,0 days 00:00:01.048000000,0,0
9,-1.67,-3.58,1.04,3.53,-1.18,-3.01,0 days 00:00:01.210000000,0,0
10,-1.68,-3.54,0.98,2.7,-2.18,-3.24,0 days 00:00:01.409000000,0,0
11,-1.7,-3.53,1.03,2.66,-1.11,-4.31,0 days 00:00:01.575000000,0,0
12,-1.67,-3.56,1.01,2.98,-1.13,-2.5,0 days 00:00:01.756000000,0,0
13,-1.67,-3.58,0.99,2.46,-0.93,-4.32,0 days 00:00:01.933000000,0,0
14,-1.65,-3.59,0.97,2.75,-1.19,-3.25,0 days 00:00:02.114000000,0,0
15,-1.64,-3.58,0.98,3.08,-1.04,-3.15,0 days 00:00:02.278000000,0,0
16,-1.68,-3.57,1.0,2.93,-0.92,-2.67,0 days 00:00:02.452000000,0,0
17,-1.67,-3.58,1.01,2.89,-2.05,-3.48,0 days 00:00:02.644000000,0,0
18,-1.68,-3.57,0.96,3.88,-0.79,-4.21,0 days 00:00:02.802000000,0,0
19,-1.65,-3.57,0.99,3.27,-1.05,-3.16,0 days 00:00:02.984000000,0,0
20,-1.67,-3.56,0.99,3.18,-1.47,-3.5,0 days 00:00:03.172000000,0,0
21,-1.65,-3.59,0.98,3.3,-0.61,-2.0,0 days 00:00:03.361000000,0,0
22,-1.67,-3.56,1.0,2.53,-1.21,-3.62,0 days 00:00:03.530000000,0,0
23,-1.67,-3.57,1.0,2.73,-1.02,-2.35,0 days 00:00:03.736000000,0,0
24,-1.66,-3.54,0.97,2.27,-4.21,-3.91,0 days 00:00:03.874000000,0,0
25,-1.68,-3.57,0.96,3.37,-0.55,-2.15,0 days 00:00:04.062000000,0,0
26,-1.69,-3.56,0.97,3.77,1.15,-4.27,0 days 00:00:04.210000000,0,0
27,-1.67,-3.55,0.96,3.31,-1.01,-3.73,0 days 00:00:04.423000000,0,0
28,-1.63,-3.56,1.02,4.17,-1.01,-2.52,0 days 00:00:04.600000000,0,0
29,-1.66,-3.58,0.98,4.47,-0.47,-3.83,0 days 00:00:04.797000000,0,0
30,-1.71,-3.57,0.97,3.16,-1.05,-3.19,0 days 00:00:04.956000000,0,0
31,-1.65,-3.56,0.98,3.01,-0.75,-3.86,0 days 00:00:05.153000000,0,0
32,-1.66,-3.54,1.01,4.81,-1.18,-1.59,0 days 00:00:05.336000000,0,0
33,-1.67,-3.54,1.0,3.66,-2.75,-4.93,0 days 00:00:05.471000000,0,0
34,-1.66,-3.55,0.96,3.79,-0.7,-3.98,0 days 00:00:05.673000000,0,0
35,-1.67,-3.56,0.96,3.02,-1.42,-4.31,0 days 00:00:05.869000000,0,0
36,-1.68,-3.56,0.97,3.51,-1.25,-2.35,0 days 00:00:06.048000000,0,0
37,-1.65,-3.63,1.0,4.02,-0.75,-2.53,0 days 00:00:06.190000000,0,0
38,-1.66,-3.55,0.96,3.08,-1.56,-4.18,0 days 00:00:06.347000000,0,0
39,-1.64,-3.57,0.97,2.85,-0.31,-1.77,0 days 00:00:06.524000000,0,0
40,-1.66,-3.57,0.99,3.51,-0.52,-3.53,0 days 00:00:06.716000000,0,0
41,-1.67,-3.59,0.97,3.62,-1.86,-2.85,0 days 00:00:06.938000000,0,0
42,-1.71,-3.55,0.99,3.05,-0.21,-3.79,0 days 00:00:07.126000000,0,0
43,-1.68,-3.57,0.98,3.68,-0.69,-3.01,0 days 00:00:07.301000000,0,0
44,-1.65,-3.55,0.98,4.05,-2.26,-3.63,0 days 00:00:07.392000000,0,0
45,-1.67,-3.58,1.02,3.31,-0.11,-3.68,0 days 00:00:07.600000000,0,0
46,-1.68,-3.54,0.96,3.1,-0.87,-1.85,0 days 00:00:07.797000000,0,0
47,-1.7,-3.59,0.98,3.98,-1.66,-2.35,0 days 00:00:07.972000000,0,0
48,-1.67,-3.59,1.0,4.75,-1.83,-0.99,0 days 00:00:08.145000000,0,0
49,-1.68,-3.58,0.99,3.25,-1.45,-3.82,0 days 00:00:08.340000000,0,0
50,-1.74,-3.59,0.99,4.02,0.46,-1.56,0 days 00:00:08.469000000,0,0
51,-1.7,-3.53,0.99,3.33,-0.69,-2.15,0 days 00:00:08.697000000,0,0
52,-1.7,-3.55,1.01,3.51,-1.39,-3.13,0 days 00:00:08.858000000,0,0
53,-1.72,-3.56,0.94,3.45,-0.76,-3.65,0 days 00:00:09.086000000,0,0
54,-1.72,-3.56,0.95,3.01,-1.53,-4.05,0 days 00:00:09.208000000,0,0
55,-1.72,-3.52,0.98,3.74,-0.87,-2.05,0 days 00:00:09.342000000,0,0
56,-1.68,-3.54,0.99,3.37,-1.65,-3.07,0 days 00:00:09.559000000,0,0
57,-1.71,-3.52,0.97,2.87,-1.79,-3.63,0 days 00:00:09.788000000,0,0
58,-1.71,-3.55,0.96,2.93,-0.35,-3.07,0 days 00:00:09.905000000,0,0
59,-1.68,-3.6,0.96,6.58,-0.03,-1.36,0 days 00:00:10.123000000,0,0
60,-1.75,-3.55,0.95,4.23,-2.24,-3.18,0 days 00:00:10.250000000,0,0
61,-1.74,-3.55,1.01,3.97,-0.53,-3.48,0 days 00:00:10.549000000,0,0
62,-1.73,-3.56,0.92,3.59,-0.61,-4.08,0 days 00:00:10.685000000,0,0
63,-1.7,-3.54,0.97,2.95,-1.24,-3.6,0 days 00:00:10.829000000,0,0
64,-1.7,-3.56,0.95,3.63,-0.78,-4.93,0 days 00:00:10.942000000,0,0
65,-1.69,-3.53,0.98,3.28,-1.5,-4.29,0 days 00:00:11.172000000,0,0
66,-1.68,-3.57,0.95,3.91,-1.36,-2.47,0 days 00:00:11.314000000,0,0
67,-1.71,-3.57,0.98,3.98,0.24,-4.2,0 days 00:00:11.559000000,0,0
68,-1.74,-3.55,0.94,3.24,-1.47,-2.9,0 days 00:00:11.679000000,0,0
69,-1.69,-3.55,1.0,3.91,-1.19,-2.93,0 days 00:00:11.917000000,0,0
70,-1.69,-3.56,0.99,3.25,-1.1,-2.2,0 days 00:00:12.063000000,0,0
71,-1.72,-3.56,0.94,2.72,-1.19,-4.32,0 days 00:00:12.218000000,0,0
72,-1.71,-3.56,0.95,3.66,-0.78,-3.21,0 days 00:00:12.379000000,0,0
73,-1.71,-3.56,0.98,3.98,-0.15,-4.02,0 days 00:00:12.543000000,0,0
74,-1.71,-3.54,0.98,3.77,-1.34,-2.44,0 days 00:00:12.701000000,0,0
75,-1.7,-3.54,0.96,4.26,-0.29,-4.95,0 days 00:00:13.007000000,0,0
76,-1.68,-3.57,0.96,6.08,-0.85,-3.24,0 days 00:00:13.165000000,0,0
77,-1.68,-3.54,0.99,3.71,-0.72,-3.44,0 days 00:00:13.335000000,0,0
78,-1.73,-3.56,0.94,4.26,-0.6,-3.37,0 days 00:00:13.491000000,0,0
79,-1.69,-3.59,0.97,3.69,-1.18,-3.95,0 days 00:00:13.677000000,0,0
80,-1.69,-3.55,0.95,3.22,-1.56,-2.76,0 days 00:00:13.877000000,0,0
81,-1.74,-3.56,0.97,3.19,-1.37,-2.79,0 days 00:00:14.078000000,0,0
82,-1.74,-3.54,1.01,4.61,-0.02,-3.42,0 days 00:00:14.287000000,0,0
83,-1.68,-3.55,0.96,3.27,-0.49,-4.66,0 days 00:00:14.318000000,0,0
84,-1.72,-3.54,0.99,4.21,-1.53,-2.06,0 days 00:00:14.513000000,0,0
85,-1.72,-3.55,0.95,3.31,-1.92,-3.34,0 days 00:00:14.730000000,0,0
86,-1.7,-3.54,0.99,3.34,-1.57,-3.15,0 days 00:00:14.899000000,0,0
87,-1.71,-3.55,0.99,3.18,-1.57,-4.21,0 days 00:00:15.104000000,0,0
88,-1.72,-3.52,0.97,4.09,-0.49,-1.85,0 days 00:00:15.347000000,0,0
89,-1.71,-3.54,0.96,2.89,-1.02,-2.66,0 days 00:00:15.394000000,0,0
90,-1.72,-3.55,0.96,4.26,-0.87,-3.53,0 days 00:00:15.619000000,0,0
91,-1.71,-3.54,0.98,3.54,-0.85,-2.63,0 days 00:00:15.874000000,0,0
92,-1.7,-3.55,0.99,3.92,-0.84,-2.46,0 days 00:00:15.910000000,0,0
93,-1.71,-3.53,0.96,2.9,-0.38,-2.46,0 days 00:00:16.132000000,0,0
94,-1.73,-3.55,0.98,2.78,-0.93,-4.47,0 days 00:00:16.356000000,0,0
95,-1.7,-3.57,0.92,2.46,-1.73,-2.79,0 days 00:00:16.563000000,0,0
96,-1.72,-3.52,0.97,3.77,-1.44,-3.28,0 days 00:00:16.782000000,0,0
97,-1.68,-3.54,0.99,2.87,-1.82,-2.4,0 days 00:00:16.814000000,0,0
98,-1.71,-3.53,0.96,3.77,-1.36,-3.68,0 days 00:00:17.087000000,0,0
99,-1.74,-3.58,0.95,4.03,-2.0,-2.35,0 days 00:00:17.316000000,0,0
100,-1.75,-3.53,0.96,3.56,-1.5,-2.11,0 days 00:00:17.344000000,0,0
101,-1.72,-3.5,0.97,3.42,-0.12,-2.72,0 days 00:00:17.555000000,0,0
102,-1.75,-3.52,0.97,2.79,-0.24,-4.53,0 days 00:00:17.768000000,0,0
103,-1.74,-3.55,0.96,3.1,-1.62,-3.05,0 days 00:00:17.990000000,0,0
104,-1.71,-3.53,1.0,3.36,-0.7,-2.84,0 days 00:00:18.018000000,0,0
105,-1.79,-3.54,0.94,1.68,-1.86,-2.66,0 days 00:00:18.278000000,0,0
106,-1.76,-3.53,0.97,2.31,-2.23,-4.79,0 days 00:00:18.535000000,0,0
107,-1.72,-3.53,1.0,3.98,-0.53,-2.11,0 days 00:00:18.562000000,0,0
108,-1.75,-3.54,0.98,3.04,-1.34,-2.43,0 days 00:00:18.819000000,0,0
109,-1.76,-3.52,0.95,2.79,-1.42,-2.93,0 days 00:00:19.095000000,0,0
110,-1.75,-3.54,0.97,3.6,-1.56,-2.81,0 days 00:00:19.131000000,0,0
111,-1.75,-3.55,0.96,2.96,-1.04,-3.37,0 days 00:00:19.393000000,0,0
112,-1.77,-3.54,0.99,2.66,-0.21,-1.13,0 days 00:00:19.683000000,0,0
113,-1.74,-3.53,0.95,3.77,-0.69,-4.76,0 days 00:00:19.717000000,0,0
114,-1.76,-3.53,0.96,3.65,-1.77,-3.02,0 days 00:00:20.068000000,0,0
115,-1.74,-3.49,0.97,3.71,-0.82,-3.86,0 days 00:00:20.096000000,0,0
116,-1.77,-3.53,0.93,4.5,0.78,-5.13,0 days 00:00:20.406000000,0,0
117,-1.72,-3.54,0.96,3.89,-0.58,-3.94,0 days 00:00:20.461000000,0,0
118,-1.76,-3.54,0.99,3.42,-0.41,-3.59,0 days 00:00:20.771000000,0,0
119,-1.77,-3.54,0.99,3.22,-0.79,-2.87,0 days 00:00:20.815000000,0,0
120,-1.75,-3.52,0.99,2.58,0.37,-4.92,0 days 00:00:20.877000000,0,0
121,-1.75,-3.54,0.95,2.49,-0.99,-4.84,0 days 00:00:21.218000000,0,0
122,-1.71,-3.54,0.97,1.86,-2.99,-4.78,0 days 00:00:21.249000000,0,0
123,-1.71,-3.53,0.96,2.99,-1.13,-4.7,0 days 00:00:21.585000000,0,0
124,-1.67,-3.6,0.95,5.54,0.5,-5.71,0 days 00:00:21.622000000,0,0
125,-1.73,-3.52,0.96,3.05,-3.62,-3.97,0 days 00:00:21.981000000,0,0
126,-1.71,-3.54,0.95,2.29,-2.63,-2.87,0 days 00:00:22.022000000,0,0
127,-1.7,-3.55,0.97,2.32,-2.44,-3.31,0 days 00:00:22.348000000,0,0
128,-1.72,-3.56,0.95,3.02,-2.29,-3.79,0 days 00:00:22.379000000,0,0
129,-1.73,-3.54,0.94,2.17,-1.18,-1.98,0 days 00:00:22.719000000,0,0
130,-1.76,-3.55,1.0,1.48,-2.78,-2.41,0 days 00:00:22.750000000,0,0
131,-1.73,-3.56,0.95,2.5,-2.81,-3.77,0 days 00:00:22.786000000,0,0
132,-1.72,-3.57,0.96,3.54,-0.43,-2.4,0 days 00:00:23.183000000,0,0
133,-1.75,-3.56,0.96,2.58,2.4,-4.12,0 days 00:00:23.222000000,0,0
134,-1.7,-3.54,0.92,4.11,-0.15,-4.64,0 days 00:00:23.594000000,0,0
135,-1.72,-3.56,0.95,3.79,-1.98,-2.96,0 days 00:00:23.623000000,0,0
136,-1.7,-3.52,0.92,3.97,-0.69,-3.4,0 days 00:00:23.944000000,0,0
137,-1.69,-3.54,0.93,3.11,-0.27,-2.21,0 days 00:00:23.984000000,0,0
138,-1.73,-3.55,0.94,2.9,-3.27,-4.12,0 days 00:00:24.349000000,0,0
139,-1.72,-3.51,0.92,3.69,-0.81,-3.91,0 days 00:00:24.379000000,0,0
140,-1.72,-3.53,0.93,3.22,-0.98,-2.4,0 days 00:00:24.408000000,0,0
141,-1.75,-3.55,0.95,3.33,-1.57,-2.52,0 days 00:00:24.735000000,0,0
142,-1.73,-3.52,0.96,3.18,-1.74,-3.89,0 days 00:00:24.775000000,0,0
143,-1.78,-3.52,0.98,3.73,-0.98,-4.18,0 days 00:00:25.186000000,0,0
144,-1.72,-3.54,0.97,3.88,-0.98,-2.76,0 days 00:00:25.222000000,0,0
145,-1.73,-3.54,0.97,3.36,-0.18,-4.76,0 days 00:00:25.588000000,0,0
146,-1.71,-3.54,0.94,2.96,-1.11,-4.18,0 days 00:00:25.657000000,0,0
147,-1.71,-3.54,0.99,2.99,-0.61,-3.71,0 days 00:00:25.689000000,0,0
148,-1.71,-3.57,0.96,4.08,-0.24,-1.39,0 days 00:00:26.129000000,0,0
149,-1.73,-3.53,0.91,3.62,-1.18,-4.78,0 days 00:00:26.163000000,0,0
150,-1.74,-3.56,0.94,3.97,-0.66,-2.89,0 days 00:00:26.199000000,0,0
151,-1.78,-3.55,0.96,4.18,-0.96,-3.48,0 days 00:00:26.671000000,0,0
152,-1.75,-3.53,0.92,2.67,-1.85,-2.05,0 days 00:00:26.702000000,0,0
153,-1.77,-3.56,0.94,4.6,-0.73,-4.85,0 days 00:00:26.747000000,0,0
154,-1.74,-3.53,0.93,3.63,-0.32,-4.55,0 days 00:00:27.192000000,0,0
155,-1.75,-3.53,0.92,4.0,-0.34,-2.23,0 days 00:00:27.224000000,0,0
156,-1.75,-3.53,0.95,3.15,-1.1,-3.33,0 days 00:00:27.283000000,0,0
157,-1.75,-3.54,0.94,3.4,-3.13,-3.21,0 days 00:00:27.698000000,0,0
158,-1.74,-3.52,0.98,2.66,-0.61,-4.38,0 days 00:00:27.738000000,0,0
159,-1.77,-3.51,0.95,3.01,-0.35,-1.85,0 days 00:00:27.768000000,0,0
160,-1.74,-3.57,0.92,3.31,-1.91,-4.49,0 days 00:00:28.193000000,0,0
161,-1.71,-3.53,0.93,5.04,-1.83,-4.11,0 days 00:00:28.223000000,0,0
162,-1.74,-3.55,0.95,3.5,-2.37,-2.08,0 days 00:00:28.618000000,0,0
163,-1.75,-3.55,0.95,3.76,-0.9,-2.49,0 days 00:00:28.664000000,0,0
164,-1.71,-3.55,0.98,3.98,0.37,-2.75,0 days 00:00:28.695000000,0,0
165,-1.76,-3.57,0.98,3.5,-0.37,-3.08,0 days 00:00:29.193000000,0,0
166,-1.74,-3.55,0.93,4.02,0.29,-2.03,0 days 00:00:29.256000000,0,0
167,-1.73,-3.53,0.94,3.85,-1.02,-3.68,0 days 00:00:29.291000000,0,0
168,-1.74,-3.53,0.95,3.66,-0.15,-3.88,0 days 00:00:29.823000000,0,0
169,-1.75,-3.53,0.95,3.91,-1.31,-1.86,0 days 00:00:29.882000000,0,0
170,-1.76,-3.53,0.99,3.65,-0.96,-3.97,0 days 00:00:29.912000000,0,0
171,-1.75,-3.56,0.94,2.73,-0.89,-2.47,0 days 00:00:29.951000000,0,0
172,-1.76,-3.54,0.99,3.36,-0.58,-5.19,0 days 00:00:30.484000000,0,0
173,-1.74,-3.53,0.95,3.57,-0.89,-1.73,0 days 00:00:30.523000000,0,0
174,-1.73,-3.55,0.94,3.22,-1.79,-3.45,0 days 00:00:30.555000000,0,0
175,-1.76,-3.53,0.95,2.67,-1.74,-2.96,0 days 00:00:30.604000000,0,0
176,-1.76,-3.52,0.92,2.38,-1.08,-3.5,0 days 00:00:31.158000000,0,0
177,-1.78,-3.56,0.92,3.45,-0.96,-3.25,0 days 00:00:31.199000000,0,0
178,-1.75,-3.55,0.96,3.42,-1.69,-3.39,0 days 00:00:31.260000000,0,0
179,-1.77,-3.5,0.94,3.94,0.27,-2.79,0 days 00:00:31.300000000,0,0
180,-1.75,-3.54,0.92,2.5,-0.75,-2.66,0 days 00:00:31.900000000,0,0
181,-1.78,-3.53,0.98,3.89,-0.96,-3.02,0 days 00:00:31.940000000,0,0
182,-1.77,-3.52,0.94,2.66,-2.43,-4.5,0 days 00:00:31.980000000,0,0
183,-1.75,-3.54,0.92,2.76,-0.31,-2.5,0 days 00:00:32.012000000,0,0
184,-1.81,-3.52,0.94,3.97,-0.85,-2.5,0 days 00:00:32.615000000,0,0
185,-1.77,-3.49,0.93,2.67,-2.6,-4.87,0 days 00:00:32.669000000,0,0
186,-1.78,-3.53,0.96,4.2,-1.01,-5.25,0 days 00:00:32.729000000,0,0
187,-1.74,-3.52,0.95,3.3,-0.7,-4.03,0 days 00:00:32.774000000,0,0
188,-1.77,-3.53,0.96,3.62,-0.35,-2.76,0 days 00:00:33.380000000,0,0
189,-1.76,-3.52,0.95,4.15,0.06,-3.66,0 days 00:00:33.412000000,0,0
190,-1.76,-3.52,0.91,2.89,-2.96,-4.93,0 days 00:00:33.455000000,0,0
191,-1.76,-3.54,0.92,3.76,-0.56,-4.17,0 days 00:00:33.493000000,0,0
192,-1.74,-3.53,0.94,3.19,-1.31,-5.1,0 days 00:00:34.093000000,0,0
193,-1.73,-3.56,0.92,2.24,-2.79,-5.19,0 days 00:00:34.139000000,0,0
194,-1.7,-3.59,0.94,3.28,-1.47,-3.54,0 days 00:00:34.171000000,0,0
195,-1.71,-3.57,0.92,2.85,-0.55,-2.09,0 days 00:00:34.205000000,0,0
196,-1.71,-3.58,0.92,3.8,0.72,-2.9,0 days 00:00:34.868000000,0,0
197,-1.7,-3.56,0.95,3.59,-0.96,-3.39,0 days 00:00:34.922000000,0,0
198,-1.73,-3.57,0.94,2.87,-1.11,-2.44,0 days 00:00:34.952000000,0,0
199,-1.71,-3.54,0.91,3.5,-0.09,-2.52,0 days 00:00:34.986000000,0,0
