,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRightLean,isWalk
0,-0.87,-3.87,0.56,6.31,2.66,-2.06,0 days 00:00:00.000000000,0,0
1,-0.86,-3.92,0.5,0.98,-4.47,-6.76,0 days 00:00:00.021000000,0,0
2,-0.88,-3.91,0.54,4.96,-1.76,-3.66,0 days 00:00:00.187000000,0,0
3,-0.88,-3.9,0.52,5.47,1.01,-3.15,0 days 00:00:00.366000000,0,0
4,-0.87,-3.91,0.55,3.91,-1.82,-2.78,0 days 00:00:00.518000000,0,0
5,-0.89,-3.89,0.52,3.77,1.15,-5.08,0 days 00:00:00.696000000,0,0
6,-0.91,-3.9,0.51,2.64,-6.24,-5.02,0 days 00:00:00.876000000,0,0
7,-0.88,-3.95,0.57,12.23,2.84,-14.75,0 days 00:00:01.059000000,0,0
8,-0.74,-3.85,0.53,4.03,-5.45,-9.65,0 days 00:00:01.236000000,0,0
9,-0.77,-3.87,0.56,2.55,8.23,-8.17,0 days 00:00:01.415000000,0,0
10,-0.7,-3.93,0.49,2.63,6.78,-5.71,0 days 00:00:01.595000000,0,0
11,-0.76,-3.87,0.58,1.59,-2.55,-7.74,0 days 00:00:01.775000000,0,0
12,-0.7,-3.94,0.57,5.25,2.23,-12.23,0 days 00:00:01.955000000,0,0
13,-0.69,-3.83,0.58,7.89,1.92,-1.77,0 days 00:00:02.107000000,0,0
14,-0.55,-3.96,0.57,8.99,-8.2,-2.37,0 days 00:00:02.285000000,0,0
15,-0.71,-3.91,0.62,7.63,-0.27,-7.4,0 days 00:00:02.465000000,0,0
16,-0.62,-3.98,0.59,2.38,4.27,-2.02,0 days 00:00:02.645000000,0,0
17,-0.46,-3.89,0.63,6.84,-10.27,-7.83,0 days 00:00:02.824000000,0,0
18,-0.67,-3.94,0.65,3.31,-1.53,-0.61,0 days 00:00:03.005000000,0,0
19,-0.62,-3.96,0.59,3.39,-5.69,-7.56,0 days 00:00:03.184000000,0,0
20,-0.67,-3.95,0.59,3.15,1.28,2.46,0 days 00:00:03.368000000,0,0
21,-0.63,-3.93,0.59,4.41,-0.38,-5.68,0 days 00:00:03.558000000,0,0
22,-0.7,-3.92,0.62,3.74,1.02,-4.78,0 days 00:00:03.721000000,0,0
23,-0.68,-3.92,0.58,4.81,-0.32,-3.56,0 days 00:00:03.892000000,0,0
24,-0.64,-3.93,0.62,8.18,3.65,-4.05,0 days 00:00:04.068000000,0,0
25,-0.68,-3.93,0.61,5.54,-0.56,-4.32,0 days 00:00:04.248000000,1,0
26,-0.61,-4.01,0.59,34.82,16.27,-2.56,0 days 00:00:04.435000000,1,0
27,-0.24,-4.28,0.78,143.89,44.66,-19.04,0 days 00:00:04.593000000,1,0
28,-0.8,-2.6,2.46,208.63,53.65,-7.91,0 days 00:00:04.790000000,1,0
29,-0.85,-2.77,3.14,-45.4,-32.6,-18.93,0 days 00:00:04.960000000,1,0
30,-0.32,-3.41,2.18,-128.15,-60.61,-18.0,0 days 00:00:05.169000000,1,0
31,-0.0,-4.02,1.15,-128.15,-32.73,-28.89,0 days 00:00:05.347000000,1,0
32,-0.16,-4.04,0.47,-88.96,15.76,-30.76,0 days 00:00:05.529000000,1,0
33,0.03,-4.13,0.11,-3.76,-37.92,0.47,0 days 00:00:05.721000000,1,0
34,0.04,-3.98,0.31,2.37,7.47,1.8,0 days 00:00:05.929000000,1,0
35,-0.04,-3.98,0.3,5.25,-4.78,1.57,0 days 00:00:06.052000000,0,0
36,-0.04,-4.09,0.33,12.0,-1.68,0.2,0 days 00:00:06.217000000,0,0
37,-0.02,-3.99,0.39,2.38,-3.37,-3.63,0 days 00:00:06.428000000,0,0
38,-0.05,-4.03,0.33,-0.81,-8.73,-2.31,0 days 00:00:06.546000000,0,0
39,-0.05,-3.98,0.33,1.68,-2.23,-4.08,0 days 00:00:06.762000000,0,0
40,0.07,-3.92,0.33,8.61,-6.72,-12.84,0 days 00:00:06.933000000,0,0
41,-0.02,-4.01,0.34,4.52,-2.66,-1.56,0 days 00:00:07.106000000,0,0
42,-0.02,-4.02,0.37,4.47,1.54,-0.67,0 days 00:00:07.286000000,0,0
43,-0.02,-4.0,0.34,3.4,1.91,-3.71,0 days 00:00:07.472000000,0,0
44,-0.04,-4.0,0.38,6.18,-4.08,-1.57,0 days 00:00:07.654000000,0,0
45,-0.05,-4.03,0.35,3.62,-1.39,-0.38,0 days 00:00:07.855000000,0,0
46,-0.04,-4.0,0.41,3.74,-1.21,-0.46,0 days 00:00:07.995000000,0,0
47,-0.08,-4.0,0.36,3.88,-1.76,-1.66,0 days 00:00:08.203000000,0,0
48,-0.08,-3.96,0.36,5.27,0.95,-0.73,0 days 00:00:08.343000000,0,0
49,-0.1,-4.0,0.38,3.53,-0.08,-2.64,0 days 00:00:08.492000000,0,0
50,-0.11,-4.03,0.42,4.9,-1.36,-2.47,0 days 00:00:08.707000000,0,0
51,-0.12,-4.0,0.4,4.84,-0.18,-0.78,0 days 00:00:08.864000000,0,0
52,-0.11,-3.97,0.4,6.06,-1.69,-1.66,0 days 00:00:09.104000000,1,0
53,-0.1,-4.05,0.39,9.8,3.86,-1.01,0 days 00:00:09.275000000,1,0
54,0.05,-4.5,0.32,150.35,60.92,3.53,0 days 00:00:09.445000000,1,0
55,-0.94,-2.48,2.62,152.7,68.49,-6.98,0 days 00:00:09.616000000,1,0
56,-0.56,-3.25,2.46,-59.37,-40.32,-16.6,0 days 00:00:09.795000000,1,0
57,0.01,-3.87,1.37,-104.12,-50.76,-39.31,0 days 00:00:09.971000000,1,0
58,0.17,-4.0,0.78,-87.62,-52.29,-2.12,0 days 00:00:10.156000000,1,0
59,0.23,-4.2,0.47,-10.84,-19.11,-0.26,0 days 00:00:10.345000000,1,0
60,0.13,-4.05,0.44,-7.53,-19.3,-2.09,0 days 00:00:10.551000000,0,0
61,0.09,-3.94,0.41,-1.25,-3.27,2.72,0 days 00:00:10.678000000,0,0
62,0.09,-3.99,0.41,1.79,-5.79,-2.18,0 days 00:00:10.907000000,0,0
63,0.01,-3.99,0.44,3.33,-0.63,-2.73,0 days 00:00:11.012000000,0,0
64,-0.01,-4.0,0.42,4.0,-1.77,2.93,0 days 00:00:11.230000000,0,0
65,0.07,-3.99,0.43,5.16,-3.65,0.31,0 days 00:00:11.344000000,0,0
66,-0.02,-4.01,0.39,4.55,-0.76,-1.22,0 days 00:00:11.570000000,0,0
67,-0.07,-3.94,0.47,5.4,2.18,1.8,0 days 00:00:11.797000000,0,0
68,-0.02,-4.02,0.42,6.52,-4.52,-1.76,0 days 00:00:11.926000000,0,0
69,-0.1,-3.97,0.47,3.04,0.96,-3.16,0 days 00:00:12.053000000,0,0
70,-0.09,-3.95,0.48,5.65,-0.7,-2.58,0 days 00:00:12.298000000,0,0
71,-0.06,-4.02,0.46,2.92,-2.03,-3.54,0 days 00:00:12.425000000,0,0
72,-0.07,-3.98,0.46,3.74,-2.03,-3.25,0 days 00:00:12.691000000,0,0
73,-0.08,-4.0,0.48,5.85,0.9,-1.01,0 days 00:00:12.835000000,0,0
74,-0.07,-4.02,0.43,2.76,2.4,0.4,0 days 00:00:12.977000000,0,0
75,-0.13,-4.0,0.45,4.26,-0.52,-2.34,0 days 00:00:13.124000000,0,0
76,-0.13,-4.03,0.49,2.64,-3.34,-2.82,0 days 00:00:13.407000000,0,0
77,-0.14,-3.98,0.46,2.69,-0.29,-3.4,0 days 00:00:13.558000000,0,0
78,-0.12,-3.98,0.51,3.18,-1.92,-6.37,0 days 00:00:13.715000000,0,0
79,-0.1,-3.99,0.45,2.61,-0.93,-2.96,0 days 00:00:13.877000000,0,0
80,-0.09,-4.02,0.44,3.85,0.09,-1.69,0 days 00:00:14.047000000,0,0
81,-0.06,-4.01,0.44,32.76,27.92,5.21,0 days 00:00:14.211000000,1,0
82,0.05,-4.7,0.34,258.89,118.47,-29.08,0 days 00:00:14.379000000,1,0
83,-0.58,-3.08,2.85,40.03,19.08,-6.84,0 days 00:00:14.554000000,1,0
84,-0.19,-3.22,2.32,-107.3,-64.99,-21.8,0 days 00:00:14.734000000,1,0
85,0.07,-3.82,0.76,-201.08,-81.71,4.58,0 days 00:00:14.918000000,1,0
86,0.15,-4.38,0.07,-28.35,-19.54,-2.9,0 days 00:00:15.101000000,1,0
87,0.08,-3.84,0.17,-6.79,-2.49,-4.21,0 days 00:00:15.298000000,1,0
88,0.07,-4.03,0.19,11.01,-3.53,0.84,0 days 00:00:15.553000000,0,0
89,0.07,-4.01,0.17,7.18,3.56,-0.47,0 days 00:00:15.786000000,0,0
90,0.01,-3.96,0.25,3.88,2.2,-1.18,0 days 00:00:15.798000000,0,0
91,-0.0,-3.99,0.21,5.3,-2.05,-2.32,0 days 00:00:16.019000000,0,0
92,-0.0,-4.01,0.25,2.15,-0.78,-0.08,0 days 00:00:16.240000000,0,0
93,0.04,-4.0,0.28,6.26,2.44,-5.54,0 days 00:00:16.471000000,0,0
94,-0.04,-3.99,0.24,5.89,1.95,-0.63,0 days 00:00:16.483000000,0,0
95,-0.02,-3.99,0.26,3.6,-2.27,-1.07,0 days 00:00:16.715000000,0,0
96,-0.06,-3.98,0.28,4.9,-0.58,-2.44,0 days 00:00:16.954000000,0,0
97,-0.06,-3.98,0.27,3.18,-2.41,-2.09,0 days 00:00:17.194000000,0,0
98,-0.09,-4.03,0.28,4.47,-1.34,-1.59,0 days 00:00:17.204000000,0,0
99,-0.11,-4.02,0.3,4.03,1.18,-2.66,0 days 00:00:17.452000000,0,0
100,-0.08,-3.94,0.27,2.75,-2.12,-4.87,0 days 00:00:17.701000000,0,0
101,-0.06,-4.03,0.28,3.28,-1.21,-0.84,0 days 00:00:17.712000000,0,0
102,-0.09,-3.98,0.25,3.15,-0.92,-3.6,0 days 00:00:17.979000000,0,0
103,-0.13,-3.99,0.32,3.79,0.47,-3.1,0 days 00:00:18.260000000,0,0
104,-0.12,-4.0,0.27,3.66,-2.21,-3.98,0 days 00:00:18.271000000,0,0
105,-0.11,-3.98,0.31,3.44,-0.44,-2.53,0 days 00:00:18.550000000,0,0
106,-0.15,-3.97,0.29,0.64,-0.47,-2.06,0 days 00:00:18.836000000,0,0
107,-0.14,-3.97,0.26,2.75,-2.63,-2.89,0 days 00:00:18.848000000,0,0
108,-0.04,-4.15,0.16,28.17,13.85,-3.4,0 days 00:00:19.152000000,1,0
109,0.27,-4.48,0.31,273.02,106.72,-22.7,0 days 00:00:19.163000000,1,0
110,-1.0,-2.7,3.09,5.45,16.58,-0.03,0 days 00:00:19.469000000,1,0
111,-0.16,-3.48,1.9,-125.05,-68.82,-17.25,0 days 00:00:19.480000000,1,0
112,0.06,-4.14,0.51,-153.68,-60.43,-4.18,0 days 00:00:19.801000000,1,0
113,0.1,-4.32,0.0,-18.93,-22.17,-0.23,0 days 00:00:20.140000000,1,0
114,0.11,-3.99,0.18,3.1,-12.31,-3.57,0 days 00:00:20.151000000,1,0
115,0.06,-3.95,0.28,7.97,4.15,1.15,0 days 00:00:20.528000000,0,0
116,0.01,-3.98,0.24,4.95,-2.15,-0.75,0 days 00:00:20.538000000,0,0
117,0.0,-4.04,0.26,4.06,3.44,3.71,0 days 00:00:20.550000000,0,0
118,-0.01,-3.99,0.21,1.08,2.17,-3.89,0 days 00:00:20.914000000,0,0
119,0.0,-3.99,0.22,4.31,-5.1,-2.31,0 days 00:00:20.925000000,0,0
120,0.0,-3.98,0.26,2.82,2.64,-2.43,0 days 00:00:21.285000000,0,0
121,-0.05,-4.02,0.23,4.96,0.49,-4.53,0 days 00:00:21.297000000,0,0
122,0.0,-4.01,0.27,3.56,-0.84,-1.68,0 days 00:00:21.677000000,0,0
123,-0.03,-3.97,0.25,3.27,-1.15,-1.07,0 days 00:00:21.688000000,0,0
124,-0.0,-3.99,0.28,3.97,-1.56,-4.4,0 days 00:00:22.078000000,0,0
125,-0.05,-3.98,0.24,3.37,-2.32,-2.84,0 days 00:00:22.088000000,0,0
126,-0.04,-4.01,0.24,2.81,-0.44,-0.99,0 days 00:00:22.493000000,0,0
127,-0.05,-4.01,0.22,2.92,-1.76,-3.37,0 days 00:00:22.504000000,0,0
128,-0.03,-3.99,0.22,3.51,-1.86,-3.44,0 days 00:00:22.516000000,0,0
129,-0.08,-3.99,0.24,3.19,0.05,-2.35,0 days 00:00:22.930000000,0,0
130,-0.07,-3.95,0.23,3.97,-0.17,-2.31,0 days 00:00:22.941000000,0,0
131,-0.04,-4.01,0.25,4.09,-0.38,-4.09,0 days 00:00:23.347000000,0,0
132,-0.07,-3.99,0.27,8.67,1.83,-4.27,0 days 00:00:23.358000000,0,0
133,-0.07,-4.01,0.28,3.01,-3.13,-4.5,0 days 00:00:23.369000000,0,0
134,-0.04,-4.01,0.26,4.12,-1.3,-4.82,0 days 00:00:23.795000000,1,0
135,0.09,-4.44,0.09,44.34,16.82,-2.72,0 days 00:00:23.805000000,1,0
136,-0.56,-3.03,1.03,299.47,133.77,-3.83,0 days 00:00:24.252000000,1,0
137,-0.39,-3.34,2.34,-68.52,-55.21,-10.67,0 days 00:00:24.264000000,1,0
138,0.12,-3.86,1.28,-167.45,-54.76,-0.37,0 days 00:00:24.274000000,1,0
139,0.09,-4.29,0.17,-89.16,-51.66,-6.02,0 days 00:00:24.736000000,1,0
140,0.17,-4.07,0.15,5.48,-20.87,-1.82,0 days 00:00:24.748000000,1,0
141,0.07,-4.0,0.26,11.18,0.89,-2.9,0 days 00:00:25.255000000,0,0
142,0.03,-4.01,0.24,3.57,1.08,-1.42,0 days 00:00:25.280000000,0,0
143,0.0,-4.02,0.24,5.74,-0.35,-1.83,0 days 00:00:25.290000000,0,0
144,0.03,-3.97,0.29,3.95,0.21,-0.53,0 days 00:00:25.777000000,0,0
145,-0.04,-3.98,0.26,4.2,-0.78,-2.02,0 days 00:00:25.788000000,0,0
146,-0.03,-4.0,0.26,3.83,-1.86,-4.08,0 days 00:00:25.801000000,0,0
147,-0.0,-3.99,0.3,2.89,-1.95,-2.49,0 days 00:00:26.307000000,0,0
148,0.0,-3.98,0.27,3.53,-1.39,-1.94,0 days 00:00:26.319000000,0,0
149,-0.07,-3.99,0.29,2.18,-3.11,-2.52,0 days 00:00:26.330000000,0,0
150,-0.04,-4.02,0.29,4.32,-0.44,-2.35,0 days 00:00:26.872000000,0,0
151,-0.02,-3.97,0.26,3.63,-0.52,-4.96,0 days 00:00:26.887000000,0,0
152,-0.04,-3.99,0.29,4.21,-0.44,-4.14,0 days 00:00:26.898000000,0,0
153,-0.02,-4.0,0.3,3.73,1.25,-3.27,0 days 00:00:26.909000000,0,0
154,-0.04,-3.99,0.27,3.97,-2.06,-4.21,0 days 00:00:27.529000000,0,0
155,-0.05,-4.01,0.28,4.63,-0.2,-2.31,0 days 00:00:27.541000000,0,0
156,-0.05,-3.99,0.26,3.86,-3.04,-3.74,0 days 00:00:27.552000000,0,0
157,-0.04,-4.01,0.29,3.44,-0.87,-3.08,0 days 00:00:28.165000000,0,0
158,-0.05,-4.02,0.29,4.11,0.98,-3.39,0 days 00:00:28.175000000,0,0
159,-0.04,-4.0,0.3,3.88,-1.94,-4.7,0 days 00:00:28.189000000,0,0
160,-0.06,-4.0,0.31,4.6,-0.79,-2.87,0 days 00:00:28.200000000,0,0
161,-0.02,-3.97,0.27,5.13,-0.78,-4.79,0 days 00:00:28.848000000,1,0
162,-0.05,-4.06,0.2,7.39,10.69,-5.95,0 days 00:00:28.860000000,1,0
163,0.1,-4.51,0.08,196.32,95.22,-20.92,0 days 00:00:28.871000000,1,0
164,-0.68,-2.09,3.2,120.6,36.44,15.56,0 days 00:00:28.883000000,1,0
165,-0.24,-3.19,2.42,-111.02,-69.39,-14.09,0 days 00:00:29.541000000,1,0
166,0.12,-4.04,0.84,-172.87,-82.67,6.27,0 days 00:00:29.555000000,1,0
167,0.21,-4.26,0.11,-77.57,-33.74,12.73,0 days 00:00:29.566000000,1,0
168,-0.09,-4.13,-0.11,-10.52,-12.27,-0.75,0 days 00:00:29.577000000,1,0
169,0.0,-3.99,-0.06,4.85,-0.02,-2.44,0 days 00:00:30.348000000,0,0
170,-0.06,-4.0,0.03,10.35,4.93,-2.03,0 days 00:00:30.361000000,0,0
171,-0.09,-3.98,0.1,9.95,4.64,-0.9,0 days 00:00:30.372000000,0,0
172,-0.07,-3.99,0.04,5.24,-2.03,-2.82,0 days 00:00:30.383000000,0,0
173,-0.1,-3.99,0.11,5.15,2.24,-2.89,0 days 00:00:31.103000000,0,0
174,-0.13,-3.95,0.05,5.89,2.29,-1.51,0 days 00:00:31.117000000,0,0
175,-0.13,-4.04,0.12,4.85,1.33,-1.21,0 days 00:00:31.129000000,0,0
